Date,A,AAPL,ADI,ADM,AEE,AEP,AES,AJG,ALB,AM,AMT,ANET,APD,ARCH,ASH,AVY,BG,BR,BTU,CAG,CALM,CBT,CDNS,CMG,CMI,CMS,COMM,COP,CVX,D,DAR,DE,DECK,DHR,DOX,DTE,ED,EPAM,ES,EXC,EXPO,FMC,FSLR,FSS,GEF,HAL,HES,HRL,HST,IBM,IT,JBHT,JBL,KBR,KDP,KEYS,KMI,KO,KR,LECO,LLY,LNG,LNT,LTHM,MA,MAR,MAT,MDLZ,MPC,MRK,MRO,MSM,NEE,NRG,NSP,OKE,ON,ORA,OXY,PEP,PKG,PSA,PSX,RRC,SCL,SHO,SRE,TMO,TXN,VC,VLO,VRSK,VVV,WCC,WEC,WMB,WOR,XEL,XOM
2021-01-04,118.63999938964844,129.41000366210938,146.02000427246094,49.869998931884766,76.12999725341797,81.54000091552734,23.239999771118164,120.23999786376953,152.6300048828125,7.630000114440918,219.60000610351562,70.79000091552734,268.20001220703125,44.630001068115234,79.0999984741211,151.89999389648438,65.70999908447266,151.50999450683594,2.940000057220459,35.9900016784668,37.25,44.400001525878906,135.75999450683594,1319.1199951171875,221.3699951171875,59.61000061035156,12.9399995803833,39.56999969482422,84.70999908447266,73.88999938964844,56.93000030517578,267.6400146484375,283.45001220703125,197.89894104003906,69.54000091552734,101.60851287841797,70.66000366210938,348.05999755859375,84.51000213623047,29.365192413330078,88.22000122070312,113.12000274658203,101.23999786376953,32.40999984741211,47.130001068115234,18.829999923706055,52.79999923706055,46.310001373291016,14.149999618530273,118.48948669433594,158.07000732421875,134.83999633789062,42.16999816894531,29.75,31.59000015258789,131.17999267578125,13.5600004196167,52.7599983215332,32.130001068115234,113.7300033569336,165.5,58.90999984741211,50.4900016784668,18.780000686645508,351.489990234375,124.7699966430664,17.25,57.91999816894531,40.75,77.25190734863281,6.829999923706055,81.68000030517578,74.22000122070312,36.29999923706055,79.0199966430664,37.5,32.66999816894531,91.61000061035156,17.450000762939453,144.27000427246094,135.75,220.1999969482422,69.87999725341797,7.130000114440918,121.11000061035156,10.949999809265137,61.900001525878906,471.82000732421875,162.22000122070312,122.8499984741211,55.72999954223633,202.8800048828125,22.75,76.58000183105469,90.37999725341797,20.100000381469727,31.559803009033203,65.66000366210938,41.5
2021-01-05,119.61000061035156,131.00999450683594,148.6300048828125,50.84000015258789,75.76000213623047,81.43000030517578,24.020000457763672,119.44000244140625,162.92999267578125,8.270000457763672,220.7100067138672,71.50250244140625,282.3900146484375,47.29999923706055,82.30000305175781,152.22999572753906,67.4000015258789,151.72000122070312,3.430000066757202,35.560001373291016,37.279998779296875,45.790000915527344,136.13999938964844,1355.1099853515625,221.6300048828125,58.54999923706055,13.329999923706055,41.84000015258789,87.0,73.0,59.29999923706055,274.2799987792969,293.9800109863281,202.81028747558594,69.51000213623047,101.77021026611328,69.87000274658203,345.70001220703125,85.12000274658203,29.322397232055664,88.83000183105469,116.01000213623047,92.16000366210938,33.02000045776367,48.22999954223633,20.40999984741211,56.540000915527344,45.790000915527344,13.949999809265137,120.59273529052734,159.7100067138672,138.07000732421875,43.060001373291016,30.139999389648438,31.639999389648438,133.83999633789062,13.899999618530273,52.18000030517578,31.899999618530273,115.05000305175781,166.32000732421875,61.529998779296875,50.25,20.290000915527344,347.4200134277344,126.08999633789062,17.690000534057617,57.97999954223633,42.09000015258789,77.385498046875,7.449999809265137,82.31999969482422,74.7699966430664,36.810001373291016,80.36000061035156,39.380001068115234,33.220001220703125,95.0,19.209999084472656,144.6999969482422,137.14999389648438,217.3699951171875,71.75,7.429999828338623,120.61000061035156,10.930000305175781,61.70500183105469,477.7200012207031,163.41000366210938,127.3499984741211,57.31999969482422,201.97000122070312,23.15999984741211,78.9000015258789,90.08999633789062,20.709999084472656,33.07028579711914,65.0199966430664,43.5
2021-01-06,122.88999938964844,126.5999984741211,149.3000030517578,52.900001525878906,76.38999938964844,82.08000183105469,24.979999542236328,121.93000030517578,175.10000610351562,8.399999618530273,214.88999938964844,71.46749877929688,289.9700012207031,47.81999969482422,85.44999694824219,158.0500030517578,70.16999816894531,155.77999877929688,3.2899999618530273,35.72999954223633,38.41999816894531,48.119998931884766,130.63999938964844,1343.4100341796875,233.58999633789062,59.72999954223633,14.239999771118164,43.5099983215332,89.80000305175781,74.55999755859375,63.650001525878906,290.3599853515625,312.3699951171875,209.53013610839844,69.33999633789062,103.59149169921875,71.36000061035156,329.6600036621094,89.12999725341797,30.278173446655273,92.94999694824219,120.08999633789062,99.69000244140625,35.38999938964844,51.08000183105469,20.81999969482422,59.72999954223633,46.06999969482422,14.75,123.60420989990234,163.7899932861328,147.2899932861328,43.9900016784668,31.479999542236328,31.760000228881836,136.11000061035156,14.359999656677246,50.52000045776367,32.209999084472656,120.66000366210938,164.32000732421875,62.58000183105469,51.0,20.799999237060547,347.54998779296875,129.38999938964844,18.100000381469727,57.869998931884766,42.95000076293945,78.60687255859375,7.5,83.31999969482422,78.43000030517578,37.220001220703125,83.98999786376953,39.83000183105469,34.060001373291016,104.7300033569336,20.0,142.92999267578125,144.52000427246094,213.82000732421875,71.22000122070312,7.710000038146973,127.87999725341797,11.399999618530273,61.904998779296875,485.2099914550781,164.22000122070312,133.77999877929688,58.599998474121094,200.05999755859375,23.56999969482422,84.29000091552734,91.2300033569336,21.5,35.289764404296875,66.45999908447266,44.61000061035156
2021-01-07,126.16000366210938,130.9199981689453,155.61000061035156,52.43000030517578,74.23999786376953,79.88999938964844,24.729999542236328,122.33000183105469,184.0,8.430000305175781,217.5,73.99250030517578,285.2900085449219,47.540000915527344,87.19999694824219,162.97999572753906,69.44000244140625,155.6199951171875,3.2699999809265137,33.779998779296875,38.88999938964844,48.209999084472656,137.0500030517578,1368.1400146484375,239.2100067138672,57.95000076293945,14.079999923706055,44.70000076293945,90.22000122070312,72.95999908447266,66.4000015258789,299.7300109863281,316.8599853515625,212.5088653564453,70.56999969482422,101.07234191894531,69.91000366210938,338.4800109863281,88.55000305175781,29.978601455688477,93.83000183105469,121.87999725341797,105.5,35.709999084472656,51.59000015258789,20.350000381469727,61.15999984741211,45.720001220703125,14.680000305175781,123.31739807128906,166.1999969482422,148.47000122070312,44.90999984741211,31.65999984741211,31.799999237060547,141.0,14.600000381469727,49.959999084472656,31.81999969482422,122.52999877929688,165.8300018310547,64.77999877929688,49.11000061035156,22.100000381469727,349.8599853515625,130.35000610351562,18.260000228881836,57.7599983215332,44.16999816894531,80.1717529296875,7.690000057220459,84.51000213623047,79.29000091552734,37.400001525878906,84.95999908447266,40.70000076293945,35.36000061035156,112.37000274658203,20.56999969482422,142.47000122070312,144.9499969482422,217.4499969482422,71.86000061035156,7.739999771118164,131.05999755859375,11.270000457763672,59.95000076293945,500.3299865722656,167.94000244140625,135.63999938964844,59.66999816894531,200.97000122070312,23.90999984741211,86.56999969482422,88.26000213623047,21.540000915527344,35.197288513183594,65.16000366210938,44.959999084472656
2021-01-08,127.05999755859375,132.0500030517578,156.74000549316406,52.56999969482422,75.0,79.18000030517578,25.420000076293945,120.8499984741211,184.10000610351562,8.079999923706055,222.1999969482422,76.52999877929688,285.739990234375,47.47999954223633,86.75,156.75,70.19999694824219,156.2100067138672,3.2100000381469727,34.06999969482422,38.02000045776367,48.13999938964844,136.19000244140625,1402.43994140625,234.30999755859375,57.68000030517578,13.949999809265137,44.70000076293945,91.08000183105469,73.19999694824219,65.02999877929688,293.9100036621094,314.42999267578125,215.85992431640625,70.44000244140625,100.58723449707031,69.93000030517578,342.3699951171875,90.33000183105469,30.106990814208984,92.83000183105469,121.08000183105469,104.0999984741211,34.790000915527344,50.900001525878906,20.1200008392334,60.25,45.439998626708984,14.720000267028809,122.87763214111328,169.10000610351562,149.35000610351562,44.459999084472656,31.809999465942383,32.0,146.8000030517578,14.489999771118164,51.08000183105469,31.6299991607666,121.5,166.41000366210938,64.19000244140625,49.349998474121094,21.65999984741211,353.8500061035156,129.69000244140625,18.290000915527344,58.189998626708984,43.18000030517578,79.22709655761719,7.550000190734863,84.05999755859375,81.12999725341797,39.0099983215332,84.86000061035156,39.93000030517578,35.52000045776367,115.43000030517578,20.079999923706055,144.17999267578125,144.77999877929688,222.6199951171875,70.70999908447266,7.519999980926514,127.88999938964844,11.220000267028809,59.88999938964844,512.2999877929688,171.16000366210938,139.7899932861328,57.709999084472656,200.89999389648438,23.950000762939453,85.51000213623047,87.94999694824219,21.299999237060547,34.4266357421875,65.76000213623047,45.459999084472656
2021-01-11,128.14999389648438,128.97999572753906,158.3000030517578,52.040000915527344,75.04000091552734,78.77999877929688,25.459999084472656,118.45999908447266,177.2899932861328,8.100000381469727,214.9199981689453,75.73999786376953,283.1300048828125,48.709999084472656,87.80000305175781,161.33999633789062,69.72000122070312,155.00999450683594,3.319999933242798,33.099998474121094,37.93000030517578,48.52000045776367,134.69000244140625,1402.6199951171875,236.67999267578125,57.130001068115234,14.319999694824219,45.36000061035156,91.5999984741211,72.66999816894531,66.22000122070312,294.9200134277344,326.9200134277344,216.41844177246094,69.62999725341797,100.40850830078125,68.7300033569336,342.8399963378906,89.20999908447266,29.85734748840332,93.38999938964844,119.37000274658203,103.76000213623047,34.63999938964844,51.45000076293945,20.56999969482422,60.939998626708984,44.43000030517578,14.369999885559082,122.92543029785156,167.17999267578125,148.13999938964844,44.63999938964844,31.1299991607666,31.360000610351562,150.14999389648438,14.739999771118164,50.20000076293945,31.760000228881836,121.94999694824219,185.94000244140625,67.06999969482422,48.54999923706055,21.0,348.20001220703125,128.66000366210938,18.420000076293945,57.09000015258789,43.59000015258789,81.10687255859375,7.639999866485596,82.7699966430664,79.69000244140625,39.720001220703125,84.41999816894531,41.22999954223633,36.04999923706055,112.5,20.079999923706055,142.08999633789062,145.8300018310547,221.25,72.2699966430664,7.96999979019165,124.72000122070312,10.890000343322754,59.20500183105469,513.3499755859375,171.30999755859375,139.2100067138672,58.63999938964844,197.8699951171875,23.25,83.83000183105469,86.95999908447266,21.510000228881836,34.13070297241211,64.4000015258789,46.84000015258789
2021-01-12,126.97000122070312,128.8000030517578,159.08999633789062,51.400001525878906,74.23999786376953,77.83999633789062,26.020000457763672,118.54000091552734,182.5,8.470000267028809,214.91000366210938,79.06999969482422,283.05999755859375,50.150001525878906,87.86000061035156,163.42999267578125,69.69000244140625,154.75999450683594,3.4600000381469727,32.90999984741211,37.70000076293945,49.66999816894531,133.72000122070312,1401.6400146484375,242.02999877929688,56.369998931884766,14.859999656677246,47.41999816894531,93.33999633789062,71.52999877929688,66.81999969482422,302.0899963378906,332.6199951171875,213.37765502929688,70.30999755859375,101.49787139892578,67.91999816894531,331.7300109863281,89.48999786376953,30.014265060424805,95.33000183105469,122.25,104.31999969482422,35.27000045776367,51.63999938964844,22.1299991607666,63.84000015258789,44.06999969482422,14.59000015258789,123.52772521972656,168.5800018310547,149.02999877929688,44.84000015258789,31.479999542236328,31.360000610351562,146.82000732421875,15.210000038146973,50.11000061035156,31.520000457763672,121.80000305175781,178.8000030517578,67.0,48.029998779296875,21.43000030517578,342.9200134277344,127.38999938964844,19.149999618530273,57.31999969482422,45.58000183105469,79.28434753417969,8.390000343322754,84.69999694824219,79.75,40.81999969482422,86.69000244140625,43.5099983215332,36.40999984741211,109.7699966430664,22.6200008392334,141.42999267578125,147.22999572753906,222.24000549316406,73.73999786376953,9.15999984741211,127.41999816894531,11.029999732971191,59.0,498.7699890136719,172.3000030517578,145.13999938964844,59.5099983215332,196.63999938964844,23.700000762939453,85.66999816894531,85.2699966430664,22.43000030517578,34.83353805541992,63.400001525878906,47.880001068115234
2021-01-13,126.9800033569336,130.88999938964844,158.47999572753906,51.77000045776367,75.5,78.1500015258789,26.8799991607666,117.93000030517578,179.9199981689453,8.350000381469727,216.4600067138672,77.40750122070312,290.6700134277344,49.52000045776367,86.56999969482422,162.92999267578125,70.43000030517578,154.22000122070312,3.990000009536743,33.380001068115234,37.0,48.83000183105469,134.1199951171875,1395.0,240.8699951171875,57.77000045776367,14.479999542236328,47.029998779296875,93.25,72.23999786376953,66.30000305175781,301.2200012207031,324.3399963378906,212.62411499023438,70.19999694824219,103.68510437011719,69.61000061035156,333.5400085449219,90.16000366210938,30.527816772460938,93.83000183105469,121.91999816894531,104.18000030517578,34.29999923706055,50.59000015258789,21.56999969482422,62.099998474121094,44.0099983215332,14.75,121.33843231201172,165.22999572753906,149.22000122070312,44.58000183105469,31.059999465942383,31.65999984741211,146.61000061035156,15.3100004196167,50.15999984741211,31.989999771118164,118.80000305175781,185.5,65.66999816894531,48.75,21.170000076293945,346.3299865722656,126.51000213623047,18.920000076293945,57.369998931884766,44.31999969482422,78.5687026977539,8.039999961853027,83.01000213623047,81.83999633789062,41.400001525878906,84.66000366210938,43.709999084472656,36.9900016784668,110.44999694824219,22.329999923706055,142.58999633789062,143.64999389648438,224.7899932861328,71.7699966430664,9.270000457763672,124.58999633789062,11.319999694824219,60.57500076293945,501.7099914550781,171.41000366210938,144.64999389648438,57.70000076293945,196.8800048828125,23.829999923706055,84.31999969482422,87.86000061035156,22.239999771118164,33.93958282470703,65.01000213623047,48.41999816894531
2021-01-14,126.02999877929688,128.91000366210938,159.4600067138672,52.869998931884766,73.98999786376953,78.83000183105469,27.450000762939453,116.01000213623047,182.3699951171875,8.529999732971191,214.99000549316406,78.2750015258789,286.25,50.810001373291016,86.37999725341797,161.77999877929688,72.25,153.57000732421875,4.199999809265137,34.04999923706055,37.06999969482422,48.93000030517578,135.39999389648438,1411.800048828125,241.3300018310547,57.81999969482422,14.949999809265137,47.869998931884766,95.48999786376953,71.0199966430664,66.66000366210938,302.8500061035156,323.8599853515625,209.84042358398438,70.33000183105469,103.57447052001953,68.45999908447266,340.6499938964844,89.56999969482422,30.370899200439453,94.72000122070312,121.72000122070312,106.04000091552734,34.40999984741211,51.52000045776367,21.760000228881836,63.779998779296875,43.970001220703125,15.010000228881836,123.29827880859375,162.8800048828125,151.9499969482422,45.47999954223633,31.809999465942383,31.540000915527344,147.02999877929688,15.640000343322754,49.22999954223633,33.13999938964844,118.47000122070312,186.69000244140625,66.0,48.09000015258789,21.690000534057617,326.92999267578125,128.92999267578125,18.81999969482422,57.310001373291016,45.52000045776367,78.40648651123047,8.670000076293945,83.20999908447266,82.52999877929688,40.2400016784668,84.75,44.7599983215332,37.900001525878906,112.62000274658203,24.239999771118164,141.75999450683594,143.0,221.22999572753906,74.13999938964844,9.960000038146973,124.26000213623047,11.3100004196167,61.26499938964844,496.9100036621094,171.7100067138672,143.3800048828125,60.27000045776367,193.8800048828125,23.760000228881836,86.63999938964844,86.86000061035156,22.690000534057617,34.660911560058594,63.560001373291016,50.310001373291016
2021-01-15,126.20999908447266,127.13999938964844,157.75,52.20000076293945,74.38999938964844,80.47000122070312,27.600000381469727,116.11000061035156,180.13999938964844,8.5,219.88999938964844,79.26750183105469,286.9100036621094,50.36000061035156,84.9800033569336,159.3300018310547,70.66000366210938,151.57000732421875,3.9600000381469727,33.86000061035156,36.470001220703125,47.439998626708984,134.63999938964844,1405.739990234375,237.24000549316406,58.619998931884766,14.720000267028809,45.119998931884766,92.08999633789062,72.08000183105469,64.33999633789062,295.3999938964844,326.0,209.88475036621094,70.0199966430664,105.12340545654297,69.5999984741211,348.010009765625,88.56999969482422,30.92724609375,94.19000244140625,120.05000305175781,96.58000183105469,34.93000030517578,50.470001220703125,20.739999771118164,61.040000915527344,44.869998931884766,14.6899995803833,122.74378967285156,160.41000366210938,151.50999450683594,44.599998474121094,31.530000686645508,31.860000610351562,146.2899932861328,15.489999771118164,48.70000076293945,33.70000076293945,118.25,190.77000427246094,66.2699966430664,49.470001220703125,22.479999542236328,323.260009765625,126.80000305175781,18.760000228881836,57.220001220703125,43.97999954223633,79.56106567382812,8.25,83.79000091552734,82.04000091552734,40.81999969482422,84.9000015258789,44.16999816894531,36.709999084472656,108.02999877929688,22.389999389648438,141.38999938964844,142.52999877929688,224.38999938964844,71.73999786376953,10.199999809265137,122.58999633789062,11.210000038146973,61.08000183105469,503.1400146484375,169.19000244140625,141.11000061035156,58.29999923706055,190.02000427246094,23.760000228881836,85.70999908447266,88.69000244140625,22.5,34.660911560058594,64.95999908447266,47.88999938964844
